CARLIST,FUEL,TYPE
i30,디젤,경차
i40,가솔린,소형차
갤로퍼,LPG(일반인 구입),준중형차
그랜저,가솔린+LPG,중형차
그레이스,전기,대형차
넥쏘,가솔린+전기,스포츠카
다이너스티,가솔린+CNG,SUV
마르샤,LPG+전기,RV
맥스크루즈,수소,경승합차
베뉴,,승합차
베라크루즈,,화물차
베르나,,
벨로스터,,
산타모,,
스타렉스,,
스텔라,,
싼타페,,
쏘나타,,
쏠라티,,
아반떼,,
아슬란,,
아이오닉,,
에쿠스,,
엑센트,,
엑셀,,
엘란트라,,
제네시스,,
코나,,
클릭,,
테라칸,,
투스카니,,
투싼,,
트라제 XG,,
티뷰론,,
팰리세이드,,
포니,,
EQ900,,
G70,,
G80,,
G90,,
GV80,,
K3,,
K5,,
K7,,
K9,,
X-TREK,,
니로,,
레이,,
레토나,,
로체,,
리갈,,
리오,,
모닝,,
모하비,,
봉고III 미니버스,,
비스토,,
세피아,,
셀토스,,
스토닉,,
스팅어,,
스펙트라,,
스포티지,,
쎄라토,,
쏘렌토,,
쏘울,,
엔터프라이즈,,
오피러스,,
옵티마,,
카니발,,
카렌스,,
캐피탈,,
타우너,,
포르테,,
포텐샤,,
프라이드,,
프레지오,,
G2X,,
다마스,,
라보,,
라세티,,
레조,,
마티즈,,
말리부,,
매그너스,,
베리타스,,
볼트,,
브로엄,,
스테이츠맨,,
스파크,,
아베오,,
아카디아,,
알페온,,
올란도,,
윈스톰,,
이쿼녹스,,
임팔라,,
젠트라,,
카마로,,
칼로스,,
캡티바,,
콜로라도,,
크루즈,,
토스카,,
트래버스,,
트랙스,,
트레일블레이저,,
티코,,
프린스,,
QM3,,
QM5,,
QM6,,
SM3,,
SM5,,
SM6,,
SM7,,
XM3,,
마스터,,
캡처,,
클리오,,
트위지,,
렉스턴,,
로디우스,,
무쏘,,
액티언,,
이스타나,,
체어맨,,
카이런,,
코란도,,
티볼리,,
